Q_Ls,Head_m,Eff_%_fabricante,Power_kW_interp,NPSHr_m,Ph_kW_teorico,Eficiencia_real_%
80.0,960.0,56.0,1400.0,4.5,753.4080000000001,53.81485714285715
82.02020202020202,958.2323232323232,56.631313131313135,1408.8383838383838,4.512626262626263,771.0111496786042,54.7267279571119
84.04040404040404,956.4646464646464,57.26262626262626,1417.6767676767677,4.525252525252525,788.5442350780532,55.62228662110956
86.06060606060606,954.6969696969697,57.89393939393939,1426.5151515151515,4.537878787878788,806.0072561983472,56.501836334669065
88.08080808080808,952.929292929293,58.525252525252526,1435.3535353535353,4.55050505050505,823.4002130394857,57.36567282963342
90.1010101010101,951.1616161616162,59.15656565656566,1444.1919191919192,4.563131313131313,840.7231056014691,58.21408459838814
92.12121212121212,949.3939393939394,59.78787878787879,1453.030303030303,4.575757575757576,857.9759338842977,59.04735311403926
94.14141414141415,947.6262626262626,60.41919191919192,1461.8686868686868,4.588383838383838,875.1586978879707,59.86575304260432
96.16161616161617,945.8585858585859,61.05050505050505,1470.7070707070707,4.601010101010101,892.2713976124887,60.66955244755247
98.18181818181819,944.0909090909091,61.68181818181819,1479.5454545454545,4.613636363636363,909.3140330578514,61.459012987013
100.20202020202021,942.3232323232323,62.313131313131315,1488.3838383838383,4.626262626262626,926.2866042240588,62.23439010395781
102.22222222222223,940.5555555555555,62.94444444444444,1497.2222222222222,4.638888888888889,943.1891111111112,62.995933209647504
104.24242424242425,938.7878787878788,63.57575757575758,1506.060606060606,4.651515151515151,960.0215537190082,63.743885860618256
106.26262626262627,937.020202020202,64.20707070707071,1514.8989898989898,4.664141414141414,976.7839320477502,64.4784859294731
108.28282828282829,935.2525252525253,64.83838383838383,1523.7373737373737,4.6767676767676765,993.476246097337,65.19996576972912
110.30303030303031,933.4848484848485,65.46969696969697,1532.5757575757575,4.6893939393939394,1010.0984958677685,65.90855237496068
112.32323232323233,931.7171717171717,66.1010101010101,1541.4141414141413,4.702020202020202,1026.6506813590452,66.60446753246755
114.34343434343435,929.9494949494949,66.73232323232324,1550.2525252525252,4.7146464646464645,1043.1328025711662,67.28792797168623
116.36363636363637,928.1818181818181,67.36363636363637,1559.090909090909,4.7272727272727275,1059.5448595041323,67.95914550755367
118.3838383838384,926.4141414141415,67.9949494949495,1567.929292929293,4.73989898989899,1075.8868521579432,68.61832717902165
120.40404040404042,924.6464646464647,68.62626262626263,1576.767676767677,4.752525252525253,1092.1587805325987,69.26567538291305
122.42424242424244,922.8787878787879,69.25757575757576,1585.6060606060607,4.765151515151516,1108.3606446280992,69.90138800330105
124.44444444444446,921.1111111111111,69.88888888888889,1594.4444444444446,4.777777777777778,1124.4924444444446,70.52565853658537
126.46464646464648,919.3434343434343,70.52020202020202,1603.2828282828284,4.790404040404041,1140.5541799816344,71.13867621243143
128.4848484848485,917.5757575757575,71.15151515151516,1612.1212121212122,4.803030303030303,1156.5458512396697,71.74062611073138
130.50505050505052,915.8080808080808,71.78282828282829,1620.959595959596,4.815656565656566,1172.4674582185492,72.33168927473834
132.52525252525254,914.040404040404,72.41414141414143,1629.79797979798,4.828282828282829,1188.3190009182738,72.91204282052006
134.54545454545456,912.2727272727273,73.04545454545455,1638.6363636363637,4.840909090909091,1204.1004793388431,73.48186004286976
136.56565656565658,910.5050505050505,73.67676767676768,1647.4747474747476,4.853535353535354,1219.8118934802574,74.04131051780838
138.5858585858586,908.7373737373737,74.30808080808082,1656.3131313131314,4.866161616161616,1235.453243342516,74.5905602018046
140.60606060606062,906.969696969697,74.93939393939394,1665.1515151515152,4.878787878787879,1251.02452892562,75.12977152783522
142.62626262626264,905.2020202020202,75.57070707070707,1673.989898989899,4.891414141414142,1266.5257502295688,75.65910349840236
144.64646464646466,903.4343434343434,76.20202020202021,1682.828282828283,4.904040404040404,1281.956907254362,76.17871177561935
146.66666666666669,901.6666666666666,76.83333333333334,1691.6666666666667,4.916666666666667,1297.318,76.6887487684729
148.6868686868687,899.8989898989898,77.46464646464648,1700.5050505050506,4.929292929292929,1312.609028466483,77.18936371736372
150.70707070707073,898.1313131313132,78.0959595959596,1709.3434343434344,4.941919191919192,1327.8299926538111,77.6807027760244
152.72727272727275,896.3636363636364,78.72727272727273,1718.1818181818182,4.954545454545455,1342.9808925619839,78.16290909090911
154.74747474747477,894.5959595959596,79.35858585858587,1727.020202020202,4.967171717171717,1358.061728191001,78.6361228781454
156.7676767676768,892.8282828282828,79.98989898989899,1735.858585858586,4.97979797979798,1373.0724995408634,79.10048149813528
158.7878787878788,891.060606060606,80.62121212121212,1744.6969696969697,4.992424242424242,1388.0132066115705,79.55611952788854
160.80808080808083,888.989898989899,81.05387205387206,1754.0404040404042,5.044444444444446,1402.4058108356294,79.95287951208022
162.82828282828285,886.4646464646464,81.1885521885522,1764.1414141414143,5.155555555555557,1415.9902736455465,80.26512286911485
164.84848484848487,883.9393939393939,81.32323232323232,1774.2424242424245,5.266666666666668,1429.4746446280994,80.56816955205342
166.8686868686869,881.4141414141413,81.45791245791246,1784.3434343434344,5.377777777777779,1442.8589237832873,80.86217574556775
168.8888888888889,878.8888888888889,81.5925925925926,1794.4444444444446,5.488888888888891,1456.1431111111115,81.14729411764708
170.90909090909093,876.3636363636364,81.72727272727273,1804.5454545454547,5.600000000000001,1469.3272066115705,81.42367391802154
172.92929292929296,873.8383838383838,81.86195286195286,1814.6464646464647,5.711111111111113,1482.411210284665,81.6914610732991
174.94949494949498,871.3131313131313,81.996632996633,1824.7474747474748,5.822222222222224,1495.3951221303948,81.95079827894219
